Destination Name,Country,Continent,Type,Avg Cost (USD/day),Best Season,Avg Rating,Annual Visitors (M),UNESCO Site
Serene Temple,Morocco,Africa,Beach,174.84,Summer,4.5,7.45,No
Sacred Valley,Germany,Europe,Religious,94.41,Summer,4.6,1.98,No
Serene Temple,South Africa,Africa,Adventure,228.96,Summer,4.7,0.7,Yes
Sacred Plaza,Australia,Oceania,Nature,120.96,Summer,4.3,2.24,No
Golden Ruins,Mexico,North America,Adventure,162.1,Spring,3.9,4.6,No
Hidden Valley,Thailand,Asia,Historical,190.82,Spring,4.0,1.83,Yes
Hidden Park,Spain,Europe,Adventure,104.6,Summer,4.1,4.83,No
Grand Valley,Brazil,South America,Beach,118.53,Autumn,4.7,5.39,No
Ancient Beach,New Zealand,Oceania,Historical,122.78,Spring,4.5,6.27,No
Serene Valley,Kenya,Africa,City,119.99,Spring,4.8,1.43,No
Hidden Ruins,China,Asia,Historical,119.91,Autumn,5.0,1.66,No
Ancient Park,Japan,Asia,Historical,123.32,Winter,4.5,9.14,No
Grand Canyon,Morocco,Africa,City,191.13,Winter,4.1,3.46,Yes
Golden Temple,Morocco,Africa,Religious,288.92,Winter,4.9,2.26,No
Serene Park,Italy,Europe,Historical,186.92,Autumn,4.6,1.34,Yes
Lush Ruins,Peru,South America,City,99.55,Autumn,4.0,3.08,No
Sacred Canyon,Brazil,South America,City,126.97,Winter,4.8,3.17,No
Mystic Forest,South Africa,Africa,Adventure,93.47,Autumn,4.5,8.12,No
Mystic Ruins,Vietnam,Asia,Beach,116.15,Summer,4.7,0.55,No
Lush Forest,Kenya,Africa,Adventure,179.11,Summer,4.8,7.43,No
Ancient Forest,Brazil,South America,Nature,108.04,Summer,4.4,8.7,No
Grand Ruins,Brazil,South America,Religious,74.59,Spring,4.8,1.1,Yes
Mystic Forest,India,Asia,Beach,94.68,Spring,4.1,7.43,No
Sacred Park,Greece,Europe,Religious,191.74,Spring,4.6,4.99,No
Sacred Forest,Canada,North America,City,168.08,Spring,4.3,7.73,No
Ancient Falls,France,Europe,Nature,224.77,Spring,4.6,5.19,No
Ancient Valley,Argentina,South America,City,30.0,Summer,4.7,0.74,Yes
Lush Forest,Vietnam,Asia,Beach,79.06,Winter,4.8,5.33,Yes
Sacred Temple,USA,North America,Historical,139.02,Autumn,4.6,4.4,No
Sacred Pagoda,Argentina,South America,Adventure,110.54,Spring,4.7,1.23,No
Golden Park,Greece,Europe,City,109.58,Winter,4.3,9.33,Yes
Golden Temple,New Zealand,Oceania,City,175.07,Winter,4.8,8.78,Yes
Serene Canyon,Spain,Europe,Beach,123.51,Spring,4.7,8.98,Yes
Lush Temple,Kenya,Africa,Adventure,218.59,Winter,4.6,9.01,No
Grand Falls,Vietnam,Asia,Adventure,114.9,Winter,4.4,2.67,Yes
Golden Valley,Thailand,Asia,Adventure,213.69,Autumn,4.4,8.68,No
Ancient Temple,Italy,Europe,Adventure,150.26,Spring,4.4,4.47,No
Mystic Canyon,Canada,North America,City,130.22,Autumn,4.4,3.71,Yes
Sacred Valley,India,Asia,City,141.94,Summer,4.6,5.43,No
Serene Ruins,Italy,Europe,Religious,102.85,Summer,4.9,9.73,No
Grand Beach,Thailand,Asia,Adventure,54.06,Autumn,4.5,3.21,Yes
Crystal Pagoda,USA,North America,Adventure,155.12,Summer,4.4,5.28,No
Crystal Temple,Argentina,South America,Adventure,140.38,Autumn,4.6,1.88,Yes
Golden Beach,Italy,Europe,Nature,166.99,Summer,4.5,2.8,No
Sacred Valley,South Africa,Africa,Adventure,207.14,Winter,4.7,2.76,Yes
Serene Plaza,USA,North America,Beach,109.91,Summer,4.9,6.51,No
Golden Park,Greece,Europe,Nature,179.34,Winter,5.0,1.36,No
Serene Falls,Spain,Europe,Adventure,125.33,Spring,4.8,2.27,No
Crystal Pagoda,Mexico,North America,Historical,154.98,Autumn,4.3,6.94,Yes
Ancient Valley,Peru,South America,Beach,150.46,Summer,4.4,2.65,No
Hidden Valley,New Zealand,Oceania,City,96.88,Spring,4.6,7.06,Yes
Sacred Canyon,Mexico,North America,Historical,181.03,Spring,4.5,1.81,Yes
Sacred Canyon,Egypt,Africa,Religious,110.84,Summer,4.4,9.28,No
Ancient Forest,Kenya,Africa,Beach,132.16,Winter,4.7,6.77,Yes
Hidden Temple,Germany,Europe,Historical,161.37,Spring,4.9,5.53,No
Crystal Beach,Kenya,Africa,Religious,133.78,Spring,4.4,9.02,No
Golden Beach,Spain,Europe,Religious,162.99,Autumn,4.7,3.72,No
Lush Forest,Peru,South America,City,214.97,Spring,4.2,9.02,Yes
Mystic Forest,Thailand,Asia,Nature,162.52,Summer,4.6,6.6,Yes
Golden Canyon,Italy,Europe,Historical,161.31,Winter,4.8,0.59,No
Serene Valley,Japan,Asia,Beach,164.65,Spring,4.3,0.55,Yes
Mystic Temple,Japan,Asia,Nature,158.74,Autumn,4.1,7.07,No
Hidden Plaza,USA,North America,City,90.43,Autumn,4.7,7.27,Yes
Ancient Plaza,Kenya,Africa,Religious,112.44,Winter,4.2,7.59,Yes
Lush Falls,Italy,Europe,Adventure,198.17,Winter,4.6,6.75,Yes
Serene Plaza,Argentina,South America,City,106.62,Winter,4.5,3.99,Yes
Crystal Falls,Peru,South America,Historical,105.52,Summer,4.3,9.74,No
Sacred Falls,Morocco,Africa,Nature,193.93,Autumn,4.4,6.5,No
Crystal Beach,France,Europe,Beach,150.65,Spring,4.9,5.98,Yes
Hidden Plaza,Greece,Europe,Nature,79.68,Autumn,4.5,7.36,No
Serene Canyon,Egypt,Africa,Nature,96.46,Summer,4.6,9.43,No
Sacred Temple,Italy,Europe,Religious,143.79,Autumn,4.7,9.68,Yes
Hidden Park,Japan,Asia,Adventure,107.66,Summer,4.0,8.59,No
Crystal Forest,Peru,South America,Religious,103.7,Summer,4.3,5.79,No
Crystal Forest,Argentina,South America,Religious,158.66,Autumn,4.6,5.92,No
Grand Ruins,Germany,Europe,City,161.55,Autumn,4.3,9.91,No
Golden Canyon,Egypt,Africa,Nature,152.91,Spring,4.2,8.84,No
Hidden Pagoda,Argentina,South America,City,193.62,Autumn,4.8,7.17,No
Mystic Valley,India,Asia,Adventure,81.12,Winter,4.2,8.19,No
Serene Canyon,Argentina,South America,Nature,165.22,Spring,4.6,9.18,Yes
Serene Pagoda,Mexico,North America,City,175.75,Winter,5.0,8.08,Yes
Serene Plaza,Egypt,Africa,Beach,216.54,Autumn,4.8,8.06,No
Golden Valley,Vietnam,Asia,Adventure,134.24,Winter,4.7,4.07,Yes
Sacred Pagoda,Thailand,Asia,City,158.25,Winter,4.2,0.84,No
Ancient Pagoda,Italy,Europe,Nature,265.73,Winter,3.9,3.22,No
Lush Park,Germany,Europe,Adventure,129.27,Spring,4.5,0.85,No
Lush Pagoda,Australia,Oceania,Adventure,126.4,Autumn,4.8,1.71,No
Sacred Pagoda,Brazil,South America,City,228.02,Spring,4.5,2.55,No
Crystal Temple,Morocco,Africa,City,113.48,Spring,4.6,0.99,No
Ancient Ruins,Brazil,South America,Historical,269.45,Spring,5.0,6.56,No
